Name,Born,Height,Weight,Division,Reach,Style
Alexander Gustafsson,"Alexander Lars-Åke Gustafsson (1987-01-15) 15 January 1987 (age 32)Arboga, Sweden",6 ft 5 in (196 cm),205 lb (93 kg; 14 st 9 lb),Light Heavyweight (2007–2019),79 in (201 cm)[1],"Boxing, Shootfighting, Submission Wrestling, BJJ"
Aleksandar Rakić,"(1992-02-06) February 6, 1992 (age 27)Vienna, Austria",6 ft 5 in (1.96 m)[1],205 lb (93 kg; 14 st 9 lb),Light heavyweight,78[2] in (198 cm),Not Available
Jimi Manuwa,"Babajimi Abiola Manuwa (1980-02-18) 18 February 1980 (age 39)Sacramento, California, United States[1]",6 ft 1 in (1.85 m)[2],205 lb (93 kg; 14.6 st),Light heavyweight,79 1⁄2 in (202 cm)[3],"Boxing, Muay Thai, Brazilian Jiu-Jitsu"
Makwan Amirkhani,"(1988-11-08) November 8, 1988 (age 30)Kermanshah, Iran[1]",5 ft 10 in (178 cm) [3],146 lb (66 kg; 10 st 6 lb),FeatherweightBantamweight,72 in (180 cm),Not Available
Christos Giagos,"Christos Giagos (1990-01-23) January 23, 1990 (age 29)Azusa, California, United States",5 ft 10 in (1.78 m)[1],155 lb (70 kg; 11 st 1 lb),Lightweight,71.0 in (180 cm)[1],Not Available
Damir Hadžović,"(1986-08-08) August 8, 1986 (age 32)Goražde, SFR Yugoslavia (today Bosnia and Herzegovina)[1]",5 ft 11 in (1.80 m),70 kg (154 lb; 11 st 0 lb),Lightweight,70 in (178 cm),"Wrestling, Boxing, BJJ"
Daniel Teymur,"(1988-02-03) February 3, 1988 (age 31)Järfälla, Sweden",Not Available,145 lb (66 kg; 10.4 st),Featherweight  Lightweight,Not Available,"Muay Thai, Kickboxing, Submission wrestling"
Lina Länsberg,"Lina Länsberg (1982-03-13) 13 March 1982 (age 37)Karlstad, Sweden",5 ft 7 in (1.70 m)[1],135 lb (61 kg; 9.6 st)[1],Bantamweight  Featherweight,65 in (165 cm)[2],"Muay Thai, Kickboxing"
Tonya Evinger,"(1981-06-04) June 4, 1981 (age 38)Moses Lake, Washington, United States",5 ft 7 in (1.70 m),135 lb (61 kg; 9 st 9 lb),Bantamweight Featherweight,70 in (178 cm)[2],"Boxing, Wrestling"
Leonardo Santos,"(1980-02-05) February 5, 1980 (age 39)Rio de Janeiro, Brazil",6 ft 1 in (1.85 m),155 lb (70 kg; 11.1 st),Lightweight  Welterweight,75 in (191 cm),Not Available
Stevie Ray,"Steven Ray (1990-03-25) 25 March 1990 (age 29)Kirkcaldy, Fife, Scotland",5 ft 10 in (1.78 m)[1],155 lb (70 kg; 11.1 st),Lightweight Welterweight,70 in (178 cm),Not Available
Frank Camacho,"Franklin Muña Camacho (1988-09-06) September 6, 1988 (age 30)Hagåtña, Guam",5 ft 10 in (1.78 m),72 kg (159 lb; 11 st 5 lb),Welterweight  Lightweight,73.0 in (185 cm),"Wrestling, Boxing, BJJ"
Nick Hein,"(1984-04-24) April 24, 1984 (age 35)Cologne, Germany",5 ft 8 in (1.73 m)[2],155 lb (70 kg; 11.1 st),Welterweight  Lightweight  Featherweight,67 in (170 cm)[3],"Judo, Boxing, BJJ"
Devin Clark,"(1990-04-12) April 12, 1990 (age 29) [1]Sioux Falls, South Dakota, United States",6 ft 0 in (1.83 m),205.2 lb (93.1 kg; 14.66 st),Light heavyweight[1]  Middleweight[3],75 in (191 cm),Not Available
Kevin Lee,"Kevin Jesse Lee, Jr.[1] (1992-09-04) September 4, 1992 (age 26)Grand Rapids, Michigan, U.S.",5 ft 9 in (1.75 m)[2],170 lb (77 kg; 12 st),Welterweight (2019–present)  Lightweight (2012–2018),77 in (196 cm),Not Available
Felicia Spencer,"(1990-11-20) November 20, 1990 (age 28)Montreal, Quebec, Canada",5 ft 6 in (1.68 m),Not Available,Featherweight (145 lb)  Lightweight (155 lb),Not Available,"BJJ, Kickboxing, Taekwondo"
Megan Anderson,"(1990-02-11) 11 February 1990 (age 29)Gold Coast, Queensland, Australia",6 ft 0 in (1.83 m),145 lb (66 kg; 10.4 st),Featherweight,72 1⁄2 in (184 cm),"Muay Thai, Brazilian Jiu-Jitsu"
Vicente Luque,"Vicente Luque (1991-11-27) November 27, 1991 (age 27)Westwood, New Jersey, United States",5 ft 11 in (1.80 m)[1],170 lb (77 kg; 12 st),Welterweight,75.5 in (192 cm)[2],"Brazilian Jiu-Jitsu, Muay Thai, Luta Livre"
Derrick Krantz,"(1988-01-13) January 13, 1988 (age 31)",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st 2 lb),Welterweight  Middleweight (formerly)  Lightweight (formerly),72 in (183 cm),Not Available
Charles Oliveira,"Charles Oliveira da Silva (1989-10-17) October 17, 1989 (age 29)Guarujá, São Paulo, Brazil",5 ft 10 in (1.78 m)[3],155 lb (70 kg; 11.1 st),"Featherweight (2012–2016) Lightweight (2008–2011), (2017-present)  Welterweight (2008)",74 in (190 cm)[3],"Brazilian Jiu-Jitsu, Muay Thai"
Nik Lentz,"Nik Lentz (1984-08-13) August 13, 1984 (age 34)El Paso, Texas, United States",5 ft 8 in (1.73 m)[1],155 lb (70 kg; 11 st 1 lb),Featherweight (2012–2015) Lightweight (2005–2012) (2015–present),68 in (173 cm)[1],Wrestling
Davi Ramos,"(1986-11-05) November 5, 1986 (age 32)Rio de Janeiro, Brazil",5 ft 6 in (1.68 m),155 lb (70 kg; 11.1 st),Lightweight,72 1⁄2 in (184 cm),Brazilian Jiu Jitsu
Sijara Eubanks,"Sijara Eubanks (1985-04-27) April 27, 1985 (age 34)Springfield, Massachusetts, United States",5 ft 3 in (1.60 m),135 lb (61 kg; 9.6 st),Flyweight,Not Available,Brazilian Jiu-Jitsu
Desmond Green,"(1989-10-11) October 11, 1989 (age 29)Rochester, New York, United States",5 ft 10 1⁄2 in (179 cm),155 lb (70 kg; 11.1 st),Featherweight  Lightweight Welterweight,73 in (185 cm)[1],Not Available
Ed Herman,"Edward Benson Herman (1980-10-02) October 2, 1980 (age 38)Vancouver, Washington, United States",6 ft 1 1⁄2 in (1.87 m),205 1⁄2 lb (93.2 kg; 14.68 st),Middleweight Light Heavyweight (current),77 in (196 cm)[1],Not Available
Patrick Cummins,"(1980-11-16) November 16, 1980 (age 38)Doylestown, Pennsylvania, United States",6 ft 2 in (1.88 m)[1],205 lb (93 kg; 14.6 st),Light heavyweight,76 in (193 cm)[2],Not Available
Zak Cummings,"(1984-08-02) August 2, 1984 (age 34)[1]Irving, Texas, United States",6 ft 0 in (1.83 m)[2],170 lb (77 kg; 12 st),Welterweight Middleweight Light Heavyweight,74 1⁄2 in (189 cm),Not Available
Trevin Giles,"(1992-08-06) August 6, 1992 (age 26)San Antonio, Texas, United States[1]",6 ft 0 in (1.83 m),185 lb (84 kg; 13 st 3 lb),Middleweight,74 in (188 cm)[1],Purple belt in Brazilian Jiu-Jitsu[2]
Julio Arce,"(1989-10-27) October 27, 1989 (age 29)Miami, Florida, United States[1]",5 ft 7 in (1.70 m),145 lb (66 kg; 10 st 5 lb),FeatherweightBantamweight,70 in (178 cm)[1],Not Available
Jéssica Andrade,"(1991-09-25) September 25, 1991 (age 27)Umuarama, Paraná, Brazil",5 ft 2 in (157 cm),115 lb (52 kg; 8 st 3 lb),Bantamweight (2011–2015)Strawweight (2016–present),62 in (157 cm)[1],"Boxing, Brazilian Jiu-Jitsu, Muay Thai"
Jared Cannonier,"Jared Christopher Cannonier (1984-03-03) March 3, 1984 (age 35)Dallas, Texas, United States",5 ft 11 in (1.80 m),185 lb (84 kg; 13.2 st),Heavyweight (2011-2016)Light Heavyweight (2016-2018)[1]Middleweight (2018-present)[1],77 in (196 cm) [2],Not Available
Anderson Silva,"Anderson da Silva[1] (1975-04-14) April 14, 1975 (age 44)São Paulo, Brazil[2]",6 ft 2 in (1.88 m)[5],185 lb (84 kg; 13.2 st),Middleweight  Light Heavyweight,77 1⁄2 in (197 cm),"Muay Thai, Wing Chun, Brazilian Jiu-Jitsu, Taekwondo, Capoeira"
Alexander Volkanovski,"Alexander Volkanovski (1988-09-29) 29 September 1988 (age 30)[1]Shellharbour, New South Wales, Australia",5 ft 6 in (168 cm)[4],145 lb (66 kg; 10 st 5 lb),Featherweight[4]LightweightWelterweight,71 1⁄2 in (182 cm)[4],"Kickboxing, Wrestling"
José Aldo,"(1986-09-09) September 9, 1986 (age 32)Manaus, Brazil",5 ft 7 in (170 cm),145 lb (66 kg; 10 st 5 lb),Featherweight (2004–present)Lightweight (2005),70 in (178 cm)[1],"Muay Thai, Brazilian Jiu-Jitsu"
Bethe Correia,"(1983-06-22) June 22, 1983 (age 36)Campina Grande, Paraíba, Brazil",5 ft 5 in (1.65 m)[1],135 lb (61 kg; 9.6 st),Bantamweight,64[2] in (163 cm)[3],"Sanda, Kung Fu, Boxing, BJJ, Wrestling"
Warlley Alves,"Warlley Alves Andrade (1991-01-04) January 4, 1991 (age 28)Governador Valadares, Minas Gerais, Brazil",5 ft 11 in (180 cm)[1],170 lb (77 kg; 12 st 2 lb),Welterweight (2011-present)  Middleweight (2014),72 in (183 cm)[1],Not Available
Sérgio Moraes,"Sérgio Ricardo de Moraes (1982-07-23) July 23, 1982 (age 36)São Paulo, Brazil",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),Welterweight  Middleweight,73 in (185 cm),Not Available
Clay Guida,"Clayton Guida (1981-12-08) December 8, 1981 (age 37)Round Lake, Illinois, United States[1]",5 ft 7 in (1.70 m)[2],155 lb (70 kg; 11 st 1 lb),"Lightweight (2003–2013, 2017–present)Featherweight (2013–2016)",70 in (178 cm)[2],Not Available
B.J. Penn,"Jay Dee Penn III (1978-12-13) December 13, 1978 (age 40)Kailua, Hawaii,[1] United States",5 ft 9 in (175 cm)[2],145 lb (66 kg; 10 st 5 lb),"Featherweight (2014–2017) Lightweight (2001–2003, 2007–2010, 2018–present) Welterweight (2004, 2006, 2010–2012) Middleweight (2004–2005) Openweight (2005)",70 in (178 cm),"Brazilian Jiu-Jitsu, Kickboxing"
Al Iaquinta,"Alexander Jay Iaquinta (1987-04-30) April 30, 1987 (age 32)Valley Stream, New York, U.S.",5 ft 10 in (1.78 m)[1],155 lb (70 kg; 11.1 st),Lightweight,70 in (178 cm)[2],"Kickboxing, Wrestling, Brazilian Jiu-Jitsu"
Derek Brunson,"(1984-01-04) January 4, 1984 (age 35)Wilmington, North Carolina, United States",6 ft 1 in (1.85 m)[1],185 lb (84 kg; 13.2 st),Middleweight,77 in (196 cm)[1],"Boxing, Wrestling, Brazilian Jiu-Jitsu"
Elias Theodorou,"Elias Matthew Theodorou (1988-05-31) May 31, 1988 (age 31)Toronto, Ontario, Canada",6 ft 1 in (1.85 m),185 lb (84 kg; 13.2 st),Middleweight,75 1⁄2 in (192 cm)[1],Not Available
Shane Burgos,"(1991-03-19) March 19, 1991 (age 28)Bronx, New York, United States",5 ft 11 in (1.80 m),146 lb (66 kg; 10.4 st),Featherweight,75.5 in (192 cm),Not Available
Cub Swanson,"Kevin Luke Swanson (1983-11-02) November 2, 1983 (age 35)Palm Springs, California, U.S.",5 ft 7 in (170 cm)[5],145 lb (66 kg; 10 st 5 lb),Featherweight (2006-present)  Lightweight (2004-2006),70 in (178 cm)[6],Not Available
Andrew Sanchez,"(1988-04-08) April 8, 1988 (age 31)Shiloh, Illinois, United States",6 ft 1 in (1.85 m)[1],185 lb (84 kg; 13.2 st),Middleweight  Light Heavyweight,73 in (185 cm),Not Available
Macy Chiasson,"(1991-07-27) July 27, 1991 (age 27)New Orleans, Louisiana, United States[1]",5 ft 9 in (1.75 m),135 lb (61 kg; 9 st 9 lb),Bantamweight  Featherweight,72[1] in (183 cm),Not Available
Sarah Moras,"(1988-04-30) 30 April 1988 (age 31)Sechelt, British Columbia, Canada",5 ft 7 in (1.70 m),139 lb (63 kg; 9.9 st),Bantamweight,Not Available,Not Available
Nordine Taleb,"Nordine Taleb (1981-06-10) June 10, 1981 (age 38)Saint-Tropez, France[1]",6 ft 1 in (1.85 m)[2],170 lb (77 kg; 12 st),Welterweight Middleweight (formerly),74 in (188 cm),Not Available
Arjan Bhullar,"Arjan Singh Bhullar (1986-05-13) May 13, 1986 (age 33)Richmond, British Columbia, Canada",6 ft 1 in (185 cm),241 lb (109 kg; 17.2 st),Heavyweight,76 in (193 cm),Not Available
Jack Hermansson,"Berndhard Jack Hermansson (1988-06-10) June 10, 1988 (age 31)Uddevalla, Sweden",6 ft 1 in (1.85 m),185 lb (84 kg; 13.2 st),Middleweight,77 1⁄2 in (197 cm),Not Available
Ronaldo Souza,"Ronaldo Souza dos Santos (1979-12-07) December 7, 1979 (age 39)Vila Velha, Espírito Santo, Brazil[1]",6 ft 1 in (1.85 m) [2],186 lb (84 kg; 13 st 4 lb),Middleweight,72 in (180 cm),"Brazilian Jiu-Jitsu, Judo, Muay Thai, Submission Wrestling"
Dmitry Smolyakov,"Dmitry Smoliakov (1982-08-05) 5 August 1982 (age 36)Korbin, Soviet Union (now Belarus)",6 ft 2 in (1.88 m),257 lb (117 kg; 18.4 st),Heavyweight,Not Available,"Boxing, Wrestling"
Mike Perry,"(1991-09-15) September 15, 1991 (age 27)Flint, Michigan, United States",5 ft 10 in (1.78 m)[2],170.5 lb (77.3 kg; 12.18 st),WelterweightLightweight,71 in (180 cm)[2][3],Not Available
Alex Oliveira,"Alex de Oliveira[1] (1988-02-21) February 21, 1988 (age 31)Rio de Janeiro, Brazil",5 ft 11 in (1.80 m),171 lb (78 kg; 12 st 3 lb),LightweightWelterweight,76 in (193 cm)[2],"Muay Thai, Brazilian Jiu-Jitsu"
Glover Teixeira,"(1979-10-28) 28 October 1979 (age 39)Sobrália, Minas Gerais, Brazil",6 ft 2 in (1.88 m)[1],205 lb (93 kg; 14.6 st),Light heavyweight,76 in (193 cm)[2],"Kajukenbo, Brazilian Jiu-Jitsu, Boxing, Wrestling"
Ion Cuțelaba,"Ion Nicolae Cuțelaba (1993-12-14) 14 December 1993 (age 25)Chișinău, Moldova",6 ft 1 in (1.85 m)[2][3],205 lb (93 kg; 14.6 st),HeavyweightLight Heavyweight,75 in (191 cm),"Sambo, Judo, Kickboxing, Greco-Roman Wrestling"
Cory Sandhagen,"(1992-04-20) April 20, 1992 (age 27)",5 ft 11 in (1.80 m),135 lb (61 kg; 9 st 9 lb),BantamweightFeatherweight,71 in (180 cm),Not Available
John Lineker,"(1990-06-12) June 12, 1990 (age 29)Paranaguá, Paraná, Brazil",5 ft 3 in (1.60 m),135 lb (61 kg; 9 st 9 lb),Flyweight Bantamweight FeatherweightLightweight,67 in (170 cm)[1],"Boxing, Muay Thai, Brazilian Jiu-Jitsu"
Augusto Sakai,"(1991-05-19) May 19, 1991 (age 28)Curitiba, Paraná, Brazil",6 ft 4 in (1.93 m),264 lb (120 kg; 18.9 st),Heavyweight,Not Available,Not Available
Carla Esparza,"Carla O'Connell (1987-10-10) October 10, 1987 (age 31)Torrance, California, United States",5 ft 1 in (1.55 m),115 lb (52 kg; 8.2 st),Strawweight,Not Available,"Wrestling, Brazilian Jiu-jitsu"
Virna Jandiroba,"(1988-05-30) May 30, 1988 (age 31)Serrinha, Bahia",5 ft 3 in (1.60 m),115 lb (52 kg; 8 st 3 lb),Strawweight[1],Not Available,"Boxing, BJJ"
Gilbert Burns,"Gilbert Alexander Burns (1986-07-20) July 20, 1986 (age 32)Niterói, Rio de Janeiro, Brazil",5 ft 10 in (1.78 m)[1],155 lb (70 kg; 11 st 1 lb),LightweightWelterweight,71 in (180 cm)[2],"Brazilian Jiu-Jitsu, Muay Thai"
Jim Miller,"James Andrew Miller (1983-08-30) August 30, 1983 (age 35)Sparta Township, New Jersey",5 ft 8 in (1.73 m)[1],155 lb (70 kg; 11 st 1 lb),Lightweight,71 in (180 cm)[2],"Wrestling, Brazilian Jiu-Jitsu, Muay Thai"
Jason Gonzalez,"Jason Gonzalez (1990-02-28) 28 February 1990 (age 29)Torrance, California",6 ft 2 in (1.88 m),155 lb (70 kg; 11.1 st),Lightweight,74 in (188 cm),Not Available
Jodie Esquibel,"(1986-05-07) 7 May 1986 (age 33)Albuquerque, New Mexico, U.S.",5 ft 1 in (1.55 m),105 lb (48 kg; 7.5 st),Atomweight Strawweight,Not Available,Not Available
Dhiego Lima,"(1989-01-31) January 31, 1989 (age 30)Goiânia, Brazil",6 ft 2 in (1.88 m),170 lb (77 kg; 12 st 2 lb),Welterweight Middleweight,75 in (191 cm)[1],Not Available
Court McGee,"Courtney Scott McGee (1984-12-12) December 12, 1984 (age 34)Ogden, Utah, U.S.",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),Middleweight (2007-2013)Welterweight  (2013-present),76 in (193 cm),Not Available
Alistair Overeem,"Alistair Cees Overeem (1980-05-17) 17 May 1980 (age 39)Hounslow, London, England",6 ft 4 in (193 cm)[2],245 lb (111 kg; 17.5 st),"Heavyweight (2006, 2007–present)  Light Heavyweight (1999–2007)",80 in (203 cm)[3],"Kickboxing, Muay Thai, BJJ"
Islam Makhachev,"Islam Ramazanovich Makhachev (1991-09-27) September 27, 1991 (age 27)Makhachkala, Dagestan ASSR, Russian SFSR, Soviet Union",5 ft 10 in (1.78 m)[1],155 lb (70 kg; 11.1 st)[2] 186 lb (84 kg; 13.3 st) (walk around weight)[3],Lightweight,Not Available,"Sanda, Judo, Sambo"
Antonina Shevchenko,"Antonina Anatolievna Shevchenko (1984-11-20) November 20, 1984 (age 34)Frunze, Kirghiz SSR, Soviet Union (today Bishkek, Kyrgyzstan)",5 ft 8 in (1.73 m),135 lb (61 kg; 9.6 st),Bantamweight (126–135 Ib) (MMA)Flyweight (116–125 Ib) (MMA)Lightweight (Kickboxing),68 in (173 cm),"Muay Thai, Kickboxing, Boxing, Taekwondo, Judo"
Krzysztof Jotko,"(1989-08-19) August 19, 1989 (age 29)Elblag, Poland",6 ft 1 in (1.85 m),185.5 lb (84.1 kg; 13.25 st),Middleweight,77 in (196 cm)[1],Not Available
Sultan Aliev,"Sultan Magomedbegovich Aliev (1984-09-17) September 17, 1984 (age 34)Kaspiysk, Dagestan, Russian SFSR, Soviet Union[1]",1.83 m (6 ft 0 in)[1],170 lb (77 kg; 12 st),Welterweight (current)  Middleweight (2013–2014)  Light Heavyweight (2011–2013),Not Available,Combat Sambo
Keita Nakamura,"(1984-05-22) 22 May 1984 (age 35)Tokyo, Japan",5 ft 11 in (1.80 m)[1],170.5 lb (77.3 kg; 12.18 st),WelterweightLightweight,Not Available,Not Available
Alexander Yakovlev,"(1984-07-18) July 18, 1984 (age 34)[1]Veliky Novgorod, Russian SFSR, Soviet Union",6 ft 3 in (1.91 m)[2],170 lb (77 kg; 12 st),"Welterweight (2004–2014, 2016–current)  Lightweight (2015)",74 in (188 cm),Not Available
Shamil Abdurakhimov,"(1981-09-02) September 2, 1981 (age 37)Makhachkala, Dagestan ASSR, Russian SFSR, Soviet Union",6 ft 3 in (1.91 m),256 lb (116 kg; 18.3 st),Heavyweight,76 in (193 cm),"Wushu Sanda, Freestyle Wrestling, Kickboxing"
Marcin Tybura,"Marcin Tybura (1985-11-09) November 9, 1985 (age 33)Uniejow, Poland",6 ft 3 in (191 cm),247 lb (112 kg; 17 st 9 lb),Heavyweight,78 in (198 cm),Not Available
Magomed Mustafaev,"(1988-08-02) August 2, 1988 (age 30)Gergebilsky District, Dagestan ASSR, Russian SFSR, Soviet Union",5 ft 10 in (1.78 m),156 lb (71 kg; 11.1 st),MiddleweightWelterweightLightweight,71.0 in (180 cm),Not Available
Dustin Poirier,"Dustin Glenn Poirier (1989-01-19) January 19, 1989 (age 30)Lafayette, Louisiana, U.S.",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11.1 st),"Lightweight (2009–2010, 2015–present)Featherweight (2011–2014)",72 in (183 cm)[2],Not Available
Max Holloway,"Jerome Max Holloway (1991-12-04) December 4, 1991 (age 27)Honolulu, Hawaii, United States[1]",5 ft 11 in (180 cm)[3],155 lb (70 kg; 11 st 1 lb),Featherweight  Lightweight,69 in (175 cm)[3],"Kickboxing, Muay Thai, Brazilian Jiu-Jitsu"
Israel Adesanya,"Israel Mobolaji Adesanya (1989-07-22) 22 July 1989 (age 29)Lagos, Nigeria",193 cm (6 ft 4 in),84 kg (185 lb; 13 st 3 lb),Middleweight,203 cm (80 in),Kickboxing
Kelvin Gastelum,"(1991-10-24) October 24, 1991 (age 27)[1]San Jose, California, United States",5 ft 9 in (1.75 m)[2],185 lb (84 kg; 13.2 st),"Welterweight (2013–2016)Middleweight (2010–2013, 2015–present)",71 1⁄2 in (182 cm)[3],"Boxing, Wrestling,10th Planet Jiu-Jitsu"
Khalil Rountree Jr.,"(1990-02-06) February 6, 1990 (age 29)Los Angeles, California, United States[1]",6 ft 1 in (1.85 m),204 1⁄2 lb (93 kg; 14 st 9 lb),Light Heavyweight,76 1⁄2 in (194 cm),Muay Thai
Dwight Grant,"(1984-09-14) September 14, 1984 (age 34)Brooklyn, New York City, United States[1]",6 ft 1 in (1.85 m),170 lb (77 kg; 12 st 2 lb),Welterweight,78[1] in (198 cm),Not Available
Alan Jouban,"Alan Michael Jouban (1981-11-25) November 25, 1981 (age 37)Lafayette, Louisiana, United States",6 ft 0 in (1.83 m)[1],171 lb (78 kg; 12 st 3 lb),Welterweight,74 in (188 cm),Not Available
Nikita Krylov,"Nikita Andreyevich Krylov (1992-03-07) March 7, 1992 (age 27)Krasnyi Luch, Luhansk, Ukraine",6 ft 3 in (1.91 m),205 lb (93 kg; 14.6 st),Light heavyweight (current)  Heavyweight,77.5 in (197 cm),Not Available
Ovince Saint Preux,"(1983-04-08) April 8, 1983 (age 36)",6 ft 3 1⁄2 in (1.92 m)[1],205 lb (93 kg; 14.6 st),Light heavyweight,80 in (203 cm)[2],Not Available
Matt Frevola,"Matthew Frevola (1990-06-11) 11 June 1990 (age 29)Huntington, New York, United States",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),Lightweight,71 in (180 cm),Not Available
Jalin Turner,"(1995-05-15) May 15, 1995 (age 24)[1]San Bernardino, California, United States",Not Available,155 lb (70 kg; 11.1 st)[1],Lightweight[1],77 in (196 cm)[2],Not Available
Alexandre Pantoja,"(1990-04-16) April 16, 1990 (age 29)Rio de Janeiro, Brazil",5 ft 5 in (1.65 m),125 lb (57 kg; 8.9 st),Flyweight,68 in (173 cm),Not Available
Wilson Reis,"(1985-01-06) January 6, 1985 (age 34)Januária, Minas Gerais, Brazil",5 ft 4 in (1.63 m)[1],125 lb (57 kg; 8.9 st),FlyweightBantamweightFeatherweight,65 in (165 cm)[1],"Brazilian Jiu-Jitsu, Boxing, Submission Wrestling"
Max Griffin,"(1985-11-29) November 29, 1985 (age 33)Santa Barbara, California, United States[1]",6 ft 0 in (1.83 m),77 kg (170 lb; 12 st 2 lb),Welterweight,76 in (193 cm),Not Available
Belal Muhammad,"Belal Muhammad (1988-07-09) July 9, 1988 (age 31)Chicago, Illinois, United States",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),Welterweight,72 in (183 cm)[1],Not Available
