Name,Born,Height,Weight,Division,Reach,Style
Zach Makovsky,"Zachary Paul Makovsky (1983-04-19) April 19, 1983 (age 36)[1]Bethlehem, Pennsylvania, United States",5 ft 4 in (1.63 m)[2],125 lb (57 kg; 8.9 st),Flyweight  Bantamweight (formerly),64 in (163 cm)[2],Not Available
Sean O'Connell,"Sean O'Connell (1983-09-02) September 2, 1983 (age 35)Cottage Grove, Minnesota, United States",6 ft 1 in (1.85 m),205 lb (93 kg; 14 st 9 lb),Light HeavyweightHeavyweight,Not Available,Not Available
Brendan O'Reilly,"(1987-06-24) 24 June 1987 (age 32)Melbourne, Australia",5 ft 8 in (1.73 m),170 lb (77 kg; 12 st),Welterweight,69 in (175 cm),BadgeJitsu
Kyle Noke,"(1980-03-18) 18 March 1980 (age 39)Dubbo, New South Wales, Australia",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),"Middleweight (2006–2012)Welterweight (2002–2006), (2012–present)",76 in (190 cm)[1],"Boxing, Brazilian jiu-jitsu, wrestling"
Seo Hee Ham,"(1987-03-08) March 8, 1987 (age 32)Gangwon Province, South Korea",5 ft 2 in (1.57 m),115 lb (52 kg; 8 st 3 lb),Atomweight (106 lb)Strawweight (115 lb),62.0 in (157 cm)[1],Kickboxing
Jonathan Meunier,"(1987-08-04) August 4, 1987 (age 31)Quebec City, Quebec, Canada[1]",6 ft 3 in (1.91 m),170 lb (77 kg; 12 st),Weleterweight,75.0 in (191 cm)[1],"Kickboxing, BJJ"
Richard Walsh,Richard Walsh (1988-12-01) 1 December 1988 (age 30),6 ft 0 in (183 cm)[1],170 lb (77 kg; 12 st 2 lb),Welterweight,73 in (185 cm)[2],Not Available
Geane Herrera,"(1990-05-27) May 27, 1990 (age 29)Duarte, California, United States",5 ft 5 in (1.65 m)[1],125 lb (57 kg; 8.9 st),Flyweight,66.0 in (168 cm)[1],Brazilian Jiu-Jitsu
Ning Guangyou,(1981-12-15) 15 December 1981 (age 37)China,5 ft 5 in (1.65 m)[1],135 lb (61 kg; 9.6 st),Featherweight (2007-2015) Bantamweight (2015-present),64.0 in (163 cm)[1],Not Available
Yao Zhikui,"Yao Zhikui (1991-02-07) February 7, 1991 (age 28)Henan, China",5 ft 6 in (1.68 m)[1],125 lb (57 kg; 8.9 st),Flyweight,64.0 in (163 cm)[2],Not Available
Ryan Bader,"Ryan DuWayne Bader (1983-06-07) June 7, 1983 (age 36)Reno, Nevada, United States",6 ft 2 in (1.88 m)[1],229.5 lb (104 kg; 16 st 6 lb),Light Heavyweight (186–205 lb) (2007–present)  Heavyweight (206–265 lb) (2018–present),74 in (188 cm)[2],Not Available
Manvel Gamburyan,"(1981-05-08) May 8, 1981 (age 38)Gyumri, Armenian SSR, Soviet Union",5 ft 5 in (1.65 m)[1],136 lb (62 kg; 9.7 st),BantamweightFeatherweightLightweightWelterweight,68 in (170 cm)[1],Not Available
Christian Colombo,"(1980-01-07) January 7, 1980 (age 39)Copenhagen, Denmark",6 ft 5 in (1.96 m),258 lb (117 kg; 18.4 st),Heavyweight (205–265 Ib),80.5 in (204 cm),Not Available
Magnus Cedenblad,"(1982-04-10) April 10, 1982 (age 37)Stockholm, Sweden",6 ft 3 in (1.91 m),185 lb (84 kg; 13 st 3 lb),Middleweight (2008-2018)  Light Heavyweight (2007),79 in (201 cm),Not Available
Kyoji Horiguchi,"(1990-10-12) October 12, 1990 (age 28)",5 ft 5 in (1.65 m)[3],125 lb (57 kg; 8 st 13 lb),Bantamweight  Flyweight,66 in (168 cm)[4],"Karate, Kickboxing, Shootfighting"
Ali Bagautinov,"(1985-06-10) June 10, 1985 (age 34)Kizlyar, Dagestan ASSR, Russian SFSR, Soviet Union",5 ft 4 in (1.63 m)[1],125 lb (57 kg; 8.9 st),Flyweight,65 in (165 cm),"Sambo, Pankration, Wrestling"
Milana Dudieva,"(1989-08-04) August 4, 1989 (age 29)Vladikavkaz, North Ossetia, Russia",5 ft 5 in (1.65 m),135 lb (61 kg; 9 st 9 lb),Bantamweight,63.5 in (161 cm),Not Available
Charlie Ward,"Mountmellick, Ireland",5 ft 11 in (1.80 m),84.5 kg (186 lb; 13 st 4 lb),MiddleweightWelterweight,73.5 in (187 cm),Not Available
Miesha Tate,"Miesha Theresa Tate (1986-08-18) August 18, 1986 (age 32)Tacoma, Washington, United States[1]",5 ft 6 in (1.68 m)[4],135 lb (61 kg; 9.6 st)[1],Bantamweight[1],65 in (170 cm)[5],"Folkstyle Wrestling, Submission Wrestling, Brazilian Jiu-Jitsu, Boxing, Muay Thai[6]"
Heather Jo Clark,"(1980-09-19) September 19, 1980 (age 38)Los Angeles, California",5 ft 6 in (1.68 m),115 lb (52 kg; 8 st 3 lb),Strawweight  Flyweight,66 in (170 cm),Not Available
Érik Pérez,"Érik Gregorio Pérez Ruvalcaba[1][2] (1989-11-19) November 19, 1989 (age 29)Guadalupe, Nuevo León, Mexico[1][2]",5 ft 8 in (1.73 m),136 lb (62 kg; 9 st 10 lb),Bantamweight,68.0 in (173 cm)[3],Not Available
Alex Nicholson,"(1990-05-02) May 2, 1990 (age 29)Apopka, Florida, United States",6 ft 4 in (1.93 m),220.6 lb (100.1 kg; 15.76 st),HeavyweightLight HeavyweightMiddleweight[2],77.5 in (197 cm),Not Available
Alex Volkanovski,"Alexander Volkanovski (1988-09-29) 29 September 1988 (age 30)[1]Shellharbour, New South Wales, Australia",5 ft 6 in (168 cm)[4],145 lb (66 kg; 10 st 5 lb),Featherweight[4]LightweightWelterweight,71 1⁄2 in (182 cm)[4],"Kickboxing, Wrestling"
Dong Yi Yang,"(1984-12-07) December 7, 1984 (age 34)",5 ft 11 in (180 cm),185 lb (84 kg; 13 st 3 lb),Middleweight,73 in (185 cm),"Judo, Taekwondo, Grappling"
Damir Hadzovic,"(1986-08-08) August 8, 1986 (age 32)Goražde, SFR Yugoslavia (today Bosnia and Herzegovina)[1]",5 ft 11 in (1.80 m),70 kg (154 lb; 11 st 0 lb),Lightweight,70 in (178 cm),"Wrestling, Boxing, BJJ"
Dan Henderson,"Daniel Jeffery Henderson (1970-08-24) August 24, 1970 (age 48)Downey, California, U.S.",5 ft 11 in (1.80 m)[1],185 lb (84 kg; 13.2 st),Welterweight MiddleweightLight heavyweight Heavyweight,74 in (188 cm)[1],Not Available
Albert Tumenov,"(1991-12-26) December 26, 1991 (age 27)Chereksky District, Kabardino-Balkar ASSR, Russian SFSR, Soviet Union",5 ft 11 in (1.80 m)[1],170 lb (77 kg; 12 st)[1]195 lb (88 kg; 13.9 st) (walk around weight),Welterweight,73 in (190 cm)[2],"Boxing, Karate, Kickboxing"
Luis Henrique da Silva,"Luis Henrique da Silva (1989-09-01) September 1, 1989 (age 29)Limoeiro, Pernambuco, Brazil",6 ft 3 in (1.91 m)[1],205 lb (93 kg; 14.6 st),Light Heavyweight (2014–present)Heavyweight (2013–2014),76 in (190 cm)[1],Not Available
Tamdan McCrory,"(1986-11-05) November 5, 1986 (age 32)Ithaca, New York, United States",6 ft 5 in (1.96 m),185 lb (84 kg; 13.2 st),Middleweight (2014-present)Welterweight (2006-2009),78.0 in (198 cm),Not Available
Antônio Silva,"(1979-09-14) 14 September 1979 (age 39)Brasília, Distrito Federal, Brazil[1]",6 ft 4 in (193 cm)[2],285 lb (129 kg; 20 st 5 lb),Heavyweight Super Heavyweight,80 in (203 cm)[3],"Kickboxing, Shotokan Karate, Judo, Brazilian Jiu-Jitsu"
Héctor Urbina,"(1987-09-17) September 17, 1987 (age 31)Chicago, Illinois, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight  Middleweight  Light heavyweight,Not Available,Not Available
